gene	description	category	chrom	strand	gene_length	n_junctions	max_abs_dpsi	comparisons	events	n_neuro_go	n_go	neuro_terms
CAMK2B	calcium/calmodulin dependent protein kinase II beta	neuronal	chr7	-	124559	2	0.198	1hr->6hr	alt 5'ss (A5SS)	9	32	neuron projection; positive regulation of dendritic spine morphogenesis; positive regulation of neuron projection development; positive regulation of synapse maturation
ZFP90	ZFP90 zinc finger protein	other	chr16	+	45983	3	0.198	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	10	""
AKAP11	A-kinase anchoring protein 11	other	chr13	+	51810	2	0.197	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	14	""
GPR155	G protein-coupled receptor 155	other	chr2	-	55535	1	0.197	1hr->6hr	alt 5'ss (A5SS)	0	6	""
MAGI2-AS3	MAGI2 antisense RNA 3	other	chr7	+	18332	1	0.196	1hr->6hr	alt 5'ss (A5SS)	0	0	""
RABGAP1	RAB GTPase activating protein 1	other	chr9	+	164034	2	0.196	0hr->1hr	alt 5'ss (A5SS)	0	10	""
NMD3	NMD3 ribosome export adaptor	other	chr3	+	148837	1	0.195	0hr->6hr	alt 5'ss (A5SS)	0	13	""
SNRK	SNF related kinase	other	chr3	+	138253	2	0.195	1hr->6hr	alt 5'ss (A5SS)	0	8	""
USP47	ubiquitin specific peptidase 47	other	chr11	+	120465	3	0.195	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	26	""
GPANK1	G-patch domain and ankyrin repeats 1	other	chr6	-	5056	2	0.194	0hr->6hr	alt 3'ss (A3SS)	0	2	""
MVD	mevalonate diphosphate decarboxylase	other	chr16	-	11227	2	0.194	1hr->6hr	alt 5'ss (A5SS)	0	9	""
NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit	other	chr17	-	28554	1	0.194	0hr->1hr	alt 5'ss (A5SS)	0	7	""
ZNF569	zinc finger protein 569	other	chr19	-	58121	2	0.194	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	6	""
BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	neuronal	chr15	+	28838	1	0.193	0hr->6hr	alt 5'ss (A5SS)	6	27	anterograde axonal transport; anterograde synaptic vesicle transport; axon cytoplasm; neuron projection development
APOC1	apolipoprotein C1	other	chr19	+	5103	4	0.192	0hr->1hr,1hr->6hr	alt 5'ss (A5SS)	0	32	""
PLEKHA6	pleckstrin homology domain containing A6	other	chr1	-	158813	2	0.192	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	1	""
POLB	DNA polymerase beta	neuronal (weak annotation)	chr8	+	33356	5	0.192	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	1	36	neuron apoptotic process
SVIL	supervillin	other	chr10	-	279680	2	0.192	0hr->6hr	alt 5'ss (A5SS)	0	20	""
ZNF433-AS1	ZNF433 and ZNF878 antisense RNA 1	other	chr19	+	58691	1	0.192	1hr->6hr	alt 3'ss (A3SS)	0	0	""
CD2AP	CD2 associated protein	neuronal (weak annotation)	chr6	+	149641	3	0.191	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	2	41	axon; dendrite
COPS2	COP9 signalosome subunit 2	neuronal (weak annotation)	chr15	-	49597	2	0.191	0hr->6hr	alt 3'ss (A3SS)	1	19	neuron differentiation
FOCAD	focadhesin	other	chr9	+	337689	3	0.191	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	4	""
KIAA1522	KIAA1522	other	chr1	+	33141	2	0.191	0hr->6hr	alt 5'ss (A5SS)	0	1	""
PTK2	protein tyrosine kinase 2	neuronal (weak annotation)	chr8	-	344317	3	0.191	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	2	78	axon guidance; dendritic spine
USP37	ubiquitin specific peptidase 37	other	chr2	-	118148	2	0.191	0hr->6hr	alt 3'ss (A3SS)	0	14	""
ZMYM2	zinc finger MYM-type containing 2	other	chr13	+	133153	1	0.191	0hr->6hr	alt 5'ss (A5SS)	0	8	""
ZNF138	zinc finger protein 138	other	chr7	+	57643	4	0.191	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	7	""
ZNG1E	Zn regulated GTPase metalloprotein activator 1E	other	chr9	+	65485	1	0.191	1hr->6hr	alt 5'ss (A5SS)	0	3	""
ENSG00000291075		other	chr9	+	65179	2	0.19	0hr->6hr	alt 3'ss (A3SS)	0	0	""
ZNF326	zinc finger protein 326	other	chr1	+	40457	2	0.19	0hr->6hr	alt 5'ss (A5SS)	0	14	""
ANKRD36	ankyrin repeat domain 36	other	chr2	+	151609	4	0.189	0hr->6hr	alt 5'ss (A5SS)	0	0	""
NPIPB3	nuclear pore complex interacting protein family member B3	other	chr16	-	46331	3	0.189	0hr->1hr,1hr->6hr	alt 5'ss (A5SS)	0	5	""
ZFYVE21	zinc finger FYVE-type containing 21	other	chr14	+	17939	4	0.189	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	4	""
BUB3	BUB3 mitotic checkpoint protein	other	chr10	+	16117	2	0.188	0hr->6hr	alt 3'ss (A3SS)	0	14	""
ENSG00000226526		other	chr1	+	26166	2	0.188	1hr->6hr	alt 3'ss (A3SS)	0	0	""
NAGK	N-acetylglucosamine kinase	other	chr2	+	15465	2	0.188	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	9	""
ZFHX4	zinc finger homeobox 4	other	chr8	+	186043	1	0.187	0hr->6hr	alt 5'ss (A5SS)	0	6	""
HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	neuronal (weak annotation)	chr5	+	6631	1	0.186	0hr->6hr	alt 5'ss (A5SS)	2	22	dendrite; neuronal ribonucleoprotein granule
PPP4R1	protein phosphatase 4 regulatory subunit 1	other	chr18	-	68450	2	0.186	0hr->6hr	alt 3'ss (A3SS)	0	8	""
ENSG00000291136		other	chr7	-	66317	2	0.185	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	0	""
RSRP1	arginine and serine rich protein 1	other	chr1	-	95965	2	0.185	0hr->6hr	alt 3'ss (A3SS)	0	1	""
CROCCP2	CROCC pseudogene 2	other	chr1	-	26636	2	0.184	0hr->6hr	alt 3'ss (A3SS)	0	0	""
DIRAS2	DIRAS family GTPase 2	other	chr9	-	33245	4	0.184	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	6	""
KLHL7	kelch like family member 7	other	chr7	+	72181	2	0.184	0hr->6hr	alt 3'ss (A3SS)	0	10	""
ZMYM5	zinc finger MYM-type containing 5	other	chr13	-	40213	3	0.184	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	4	""
CHFR	checkpoint with forkhead and ring finger domains	other	chr12	-	134118	1	0.183	1hr->6hr	alt 5'ss (A5SS)	0	18	""
NXPE3	neurexophilin and PC-esterase domain family member 3	other	chr3	+	64567	1	0.183	0hr->6hr	alt 5'ss (A5SS)	0	2	""
RWDD3	RWD domain containing 3	other	chr1	+	18639	1	0.183	1hr->6hr	alt 3'ss (A3SS)	0	6	""
UXS1	UDP-glucuronate decarboxylase 1	other	chr2	-	101042	2	0.183	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	11	""
CELF1	CUGBP Elav-like family member 1	other	chr11	-	99637	2	0.182	0hr->6hr	alt 3'ss (A3SS)	0	28	""
CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	other	chr7	-	297291	1	0.182	0hr->6hr	alt 3'ss (A3SS)	0	14	""
SLC16A3	solute carrier family 16 member 3	neuronal (weak annotation)	chr17	+	43196	1	0.182	0hr->6hr	alt 5'ss (A5SS)	2	19	integral component of postsynaptic density membrane; parallel fiber to Purkinje cell synapse
ZDBF2	zinc finger DBF-type containing 2	other	chr2	+	39826	2	0.182	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	5	""
CCDC186	coiled-coil domain containing 186	other	chr10	-	53376	1	0.181	0hr->6hr	alt 5'ss (A5SS)	0	5	""
GOLGA4	golgin A4	neuronal (weak annotation)	chr3	+	123689	1	0.181	1hr->6hr	alt 3'ss (A3SS)	1	15	positive regulation of axon extension
PAM	peptidylglycine alpha-amidating monooxygenase	neuronal (weak annotation)	chr5	+	275750	1	0.181	1hr->6hr	alt 3'ss (A3SS)	1	43	neuron projection
LMBR1L	limb development membrane protein 1 like	other	chr12	-	13765	3	0.18	1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	13	""
OSBPL8	oxysterol binding protein like 8	other	chr12	-	208143	4	0.18	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	26	""
PDE6D	phosphodiesterase 6D	other	chr2	-	53840	2	0.18	0hr->6hr	alt 3'ss (A3SS)	0	12	""
PRRC2A	proline rich coiled-coil 2A	other	chr6	+	17218	4	0.18	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	8	""
SLC5A7	solute carrier family 5 member 7	neuronal	chr2	+	27475	2	0.18	0hr->6hr	alt 3'ss (A3SS)	6	19	axon; dendrite; neuromuscular synaptic transmission; neurotransmitter transport
ZKSCAN7-AS1	ZKSCAN7 ZNF cluster antisense RNA 1	other	chr3	-	128681	3	0.18	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	0	""
ATXN1	ataxin 1	other	chr6	-	462423	4	0.179	0hr->6hr	alt 5'ss (A5SS)	0	25	""
LIN28B	lin-28 homolog B	other	chr6	+	146717	1	0.179	1hr->6hr	alt 5'ss (A5SS)	0	17	""
MPRIP	myosin phosphatase Rho interacting protein	other	chr17	+	175223	3	0.179	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	7	""
SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	other	chr16	-	121606	2	0.179	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	27	""
MDM2	MDM2 proto-oncogene	other	chr12	+	37420	2	0.178	0hr->1hr	alt 5'ss (A5SS)	0	68	""
SMG7	SMG7 nonsense mediated mRNA decay factor	other	chr1	+	126153	2	0.178	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	12	""
STMN2	stathmin 2	neuronal	chr8	+	55325	1	0.178	1hr->6hr	alt 5'ss (A5SS)	6	22	cellular response to nerve growth factor stimulus; negative regulation of neuron projection development; neuron projection; neuron projection development
ERC2	ELKS/RAB6-interacting/CAST family member 2	neuronal	chr3	-	960785	2	0.177	0hr->6hr	alt 5'ss (A5SS)	10	13	cytoskeleton of presynaptic active zone; GABA-ergic synapse; glutamatergic synapse; maintenance of presynaptic active zone structure
LIMCH1	LIM and calponin homology domains 1	other	chr4	+	340438	3	0.177	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	11	""
MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1	other	chr12	-	3145	3	0.177	0hr->6hr	alt 5'ss (A5SS)	0	0	""
ENSG00000268362		other	chr19	+	43995	1	0.176	0hr->1hr	alt 3'ss (A3SS)	0	0	""
EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	other	chr17	-	44775	3	0.176	1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	18	""
FBXW11	F-box and WD repeat domain containing 11	neuronal	chr5	-	145325	1	0.176	1hr->6hr	alt 5'ss (A5SS)	4	36	axon cytoplasm; neuron projection; neuronal cell body; retrograde axonal transport
KISS1	KiSS-1 metastasis suppressor	neuronal (weak annotation)	chr1	-	23685	1	0.176	0hr->6hr	alt 3'ss (A3SS)	3	18	neuron projection; neuronal cell body; positive regulation of synaptic transmission
USP53	ubiquitin specific peptidase 53	other	chr4	+	82932	2	0.176	1hr->6hr	alt 3'ss (A3SS)	0	8	""
CCDC112	coiled-coil domain containing 112	other	chr5	-	29504	2	0.175	0hr->6hr	alt 5'ss (A5SS)	0	1	""
KAT6B	lysine acetyltransferase 6B	other	chr10	+	207698	2	0.175	0hr->6hr	alt 5'ss (A5SS)	0	22	""
MIER1	MIER1 transcriptional regulator	other	chr1	+	63725	1	0.175	1hr->6hr	alt 5'ss (A5SS)	0	14	""
NR4A1	nuclear receptor subfamily 4 group A member 1	activity-regulated	chr12	+	36676	1	0.175	1hr->6hr	alt 5'ss (A5SS)	2	41	neurotransmitter secretion involved in regulation of skeletal muscle contraction; presynapse
NUMB	NUMB endocytic adaptor protein	neuronal (weak annotation)	chr14	-	183511	2	0.175	0hr->6hr	alt 3'ss (A3SS)	3	24	axonogenesis; glutamatergic synapse; regulation of postsynaptic neurotransmitter receptor internalization
PHACTR4	phosphatase and actin regulator 4	neuronal (weak annotation)	chr1	+	130811	2	0.175	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	2	14	neural crest cell migration; neural tube closure
PNISR	PNN interacting serine and arginine rich protein	neuronal (weak annotation)	chr6	-	27717	2	0.175	0hr->6hr	alt 5'ss (A5SS)	1	6	presynaptic active zone
PPA2	inorganic pyrophosphatase 2	other	chr4	-	105001	1	0.175	0hr->6hr	alt 3'ss (A3SS)	0	9	""
TRAPPC13	trafficking protein particle complex subunit 13	other	chr5	+	41519	3	0.175	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	8	""
ZNF483	zinc finger protein 483	other	chr9	+	52697	1	0.175	1hr->6hr	alt 5'ss (A5SS)	0	5	""
KATNAL1	katanin catalytic subunit A1 like 1	other	chr13	-	104922	1	0.174	0hr->6hr	alt 5'ss (A5SS)	0	17	""
TET2	tet methylcytosine dioxygenase 2	other	chr4	+	133942	2	0.174	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	18	""
UBAP2L	ubiquitin associated protein 2 like	other	chr1	+	51332	2	0.174	0hr->6hr	alt 3'ss (A3SS)	0	9	""
ZBTB38	zinc finger and BTB domain containing 38	other	chr3	+	125580	1	0.174	0hr->6hr	alt 3'ss (A3SS)	0	16	""
ARL10	ADP ribosylation factor like GTPase 10	other	chr5	+	36402	6	0.173	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	2	""
COQ4	coenzyme Q4	other	chr9	+	11590	2	0.173	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	7	""
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	neuronal (weak annotation)	chr1	+	167653	1	0.173	0hr->1hr	alt 5'ss (A5SS)	3	14	postsynaptic density; presynapse; synaptic vesicle uncoating
PDCD6IP	programmed cell death 6 interacting protein	neuronal (weak annotation)	chr3	+	71146	1	0.173	1hr->6hr	alt 3'ss (A3SS)	1	35	immunological synapse
DLGAP4	DLG associated protein 4	neuronal	chr20	+	222302	2	0.172	0hr->6hr	alt 5'ss (A5SS)	4	9	cholinergic synapse; glutamatergic synapse; postsynaptic specialization; regulation of postsynaptic neurotransmitter receptor activity
FASTKD1	FAST kinase domains 1	other	chr2	-	45368	2	0.172	0hr->6hr	alt 3'ss (A3SS)	0	8	""
GTF2H2	general transcription factor IIH subunit 2	other	chr5	-	33182	2	0.172	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	18	""
N4BP2	NEDD4 binding protein 2	other	chr4	+	101468	2	0.172	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	8	""
PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	other	chr5	-	504043	2	0.172	0hr->6hr	alt 5'ss (A5SS)	0	9	""
RPL21	ribosomal protein L21	other	chr13	+	5425	1	0.172	0hr->6hr	alt 5'ss (A5SS)	0	11	""
SLC20A1	solute carrier family 20 member 1	other	chr2	+	17937	4	0.172	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	13	""
FAM135A	family with sequence similarity 135 member A	other	chr6	+	148234	2	0.171	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	1	""
MIA3	MIA SH3 domain ER export factor 3	other	chr1	+	49959	2	0.171	0hr->6hr	alt 5'ss (A5SS)	0	26	""
SCN1A-AS1	SCN1A and SCN9A antisense RNA 1	other	chr2	+	433584	4	0.171	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	0	""
SDHC	succinate dehydrogenase complex subunit C	other	chr1	+	48829	2	0.171	0hr->1hr	alt 3'ss (A3SS)	0	13	""
SRP19	signal recognition particle 19	other	chr5	+	37184	2	0.171	0hr->6hr	alt 3'ss (A3SS)	0	11	""
CELF4	CUGBP Elav-like family member 4	neuronal (weak annotation)	chr18	-	322887	4	0.17	0hr->1hr,1hr->6hr	alt 3'ss (A3SS)	3	22	excitatory postsynaptic potential; negative regulation of excitatory postsynaptic potential; postsynapse
CLK1	CDC like kinase 1	other	chr2	-	11720	2	0.17	1hr->6hr	alt 3'ss (A3SS)	0	15	""
EPC1	enhancer of polycomb homolog 1	other	chr10	-	111055	2	0.17	1hr->6hr	alt 5'ss (A5SS)	0	28	""
GGPS1	geranylgeranyl diphosphate synthase 1	other	chr1	+	17183	1	0.17	0hr->6hr	alt 5'ss (A5SS)	0	17	""
ZC3H11A	zinc finger CCCH-type containing 11A	other	chr1	+	59472	4	0.17	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	6	""
ENOPH1	enolase-phosphatase 1	other	chr4	+	31098	1	0.169	0hr->1hr	alt 5'ss (A5SS)	0	9	""
FIP1L1	factor interacting with PAPOLA and CPSF1	other	chr4	+	86814	3	0.169	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	7	""
GPBP1L1	GC-rich promoter binding protein 1 like 1	other	chr1	-	60810	2	0.169	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	7	""
NBPF15	NBPF member 15	other	chr1	-	40287	1	0.169	0hr->6hr	alt 3'ss (A3SS)	0	1	""
RARS2	arginyl-tRNA synthetase 2, mitochondrial	other	chr6	-	76576	2	0.169	0hr->1hr	alt 5'ss (A5SS)	0	9	""
ZC3H13	zinc finger CCCH-type containing 13	other	chr13	-	98335	1	0.169	0hr->6hr	alt 3'ss (A3SS)	0	11	""
ZDHHC16	zinc finger DHHC-type palmitoyltransferase 16	other	chr10	+	11230	2	0.169	0hr->1hr	alt 3'ss (A3SS)	0	12	""
DTNA	dystrobrevin alpha	neuronal	chr18	+	398621	2	0.168	0hr->6hr	alt 3'ss (A3SS)	4	15	chemical synaptic transmission; neuromuscular synaptic transmission; synapse; synaptic signaling
NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit	other	chr9	+	84449	1	0.168	0hr->6hr	alt 5'ss (A5SS)	0	10	""
PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	other	chr5	+	92651	2	0.168	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	15	""
ANK2	ankyrin 2	neuronal (weak annotation)	chr4	+	678252	1	0.167	0hr->6hr	alt 3'ss (A3SS)	2	71	neuron projection; postsynaptic membrane
CLASP2	cytoplasmic linker associated protein 2	other	chr3	-	222112	2	0.167	1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	47	""
CSPP1	centrosome and spindle pole associated protein 1	other	chr8	+	134362	1	0.167	1hr->6hr	alt 3'ss (A3SS)	0	9	""
IFT88	intraflagellar transport 88	other	chr13	+	124324	2	0.167	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	22	""
NARF	nuclear prelamin A recognition factor	other	chr17	+	32358	1	0.167	1hr->6hr	alt 5'ss (A5SS)	0	6	""
ODF2L	outer dense fiber of sperm tails 2 like	other	chr1	-	49550	2	0.167	0hr->6hr	alt 3'ss (A3SS)	0	8	""
RAB3D	RAB3D, member RAS oncogene family	neuronal (weak annotation)	chr19	-	24203	2	0.167	0hr->6hr	alt 3'ss (A3SS)	1	21	synaptic vesicle
RNF216P1	ring finger protein 216 pseudogene 1	other	chr7	+	66704	1	0.167	0hr->6hr	alt 3'ss (A3SS)	0	0	""
ZNF432	zinc finger protein 432	other	chr19	-	64361	1	0.167	1hr->6hr	alt 3'ss (A3SS)	0	7	""
BLCAP	BLCAP apoptosis inducing factor	other	chr20	-	110583	1	0.166	0hr->6hr	alt 3'ss (A3SS)	0	4	""
MACF1	microtubule actin crosslinking factor 1	neuronal (weak annotation)	chr1	+	405862	2	0.166	1hr->6hr	alt 5'ss (A5SS)	2	28	positive regulation of axon extension; regulation of neuron projection arborization
PCM1	pericentriolar material 1	neuronal (weak annotation)	chr8	+	107238	4	0.166	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	2	29	neuron migration; neuronal stem cell population maintenance
ZNF92	zinc finger protein 92	other	chr7	+	27338	1	0.166	0hr->6hr	alt 3'ss (A3SS)	0	8	""
ARMC8	armadillo repeat containing 8	other	chr3	+	111137	1	0.165	0hr->6hr	alt 3'ss (A3SS)	0	12	""
RBM39	RNA binding motif protein 39	other	chr20	-	40966	2	0.165	0hr->6hr	alt 3'ss (A3SS)	0	12	""
SKIC8	SKI8 subunit of superkiller complex	other	chr15	-	21953	1	0.165	0hr->1hr	alt 3'ss (A3SS)	0	15	""
ENSG00000290937		other	chr3	+	69227	1	0.164	1hr->6hr	alt 3'ss (A3SS)	0	0	""
SCN2A	sodium voltage-gated channel alpha subunit 2	neuronal	chr2	+	197318	4	0.164	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	6	26	axon; glutamatergic synapse; integral component of presynaptic membrane; neuron apoptotic process
TCP11L1	t-complex 11 like 1	other	chr11	+	66527	1	0.164	1hr->6hr	alt 5'ss (A5SS)	0	3	""
TRIM7-AS2	TRIM7 antisense RNA 2	other	chr5	+	2579	1	0.164	1hr->6hr	alt 5'ss (A5SS)	0	0	""
ACACA	acetyl-CoA carboxylase alpha	other	chr17	-	321845	2	0.163	1hr->6hr	alt 5'ss (A5SS)	0	18	""
ANKRD36B	ankyrin repeat domain 36B	other	chr2	-	97886	2	0.163	0hr->1hr	alt 3'ss (A3SS)	0	1	""
BAZ2B	bromodomain adjacent to zinc finger domain 2B	other	chr2	-	393459	3	0.163	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	6	""
CHD9	chromodomain helicase DNA binding protein 9	other	chr16	+	274160	2	0.163	1hr->6hr	alt 5'ss (A5SS)	0	9	""
IMMP2L	inner mitochondrial membrane peptidase subunit 2	other	chr7	-	899874	1	0.163	0hr->6hr	alt 5'ss (A5SS)	0	18	""
RBM5	RNA binding motif protein 5	other	chr3	+	30110	1	0.163	1hr->6hr	alt 3'ss (A3SS)	0	15	""
SDHB	succinate dehydrogenase complex iron sulfur subunit B	other	chr1	-	35503	2	0.163	0hr->1hr	alt 3'ss (A3SS)	0	20	""
TRPV2	transient receptor potential cation channel subfamily V member 2	neuronal (weak annotation)	chr17	+	21475	1	0.163	0hr->6hr	alt 3'ss (A3SS)	2	20	axonal growth cone; positive regulation of axon extension
ZEB1	zinc finger E-box binding homeobox 1	neuronal (weak annotation)	chr10	+	211320	1	0.163	1hr->6hr	alt 5'ss (A5SS)	1	37	positive regulation of neuron differentiation
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	other	chr8	+	52918	1	0.162	0hr->6hr	alt 5'ss (A5SS)	0	15	""
ARFGAP2	ADP ribosylation factor GTPase activating protein 2	other	chr11	-	12827	2	0.162	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	9	""
LINC00662	long intergenic non-protein coding RNA 662	other	chr19	-	112934	1	0.162	0hr->6hr	alt 3'ss (A3SS)	0	0	""
RTN2	reticulon 2	other	chr19	-	11762	1	0.162	0hr->6hr	alt 5'ss (A5SS)	0	14	""
TAF11	TATA-box binding protein associated factor 11	other	chr6	-	11731	1	0.162	1hr->6hr	alt 3'ss (A3SS)	0	19	""
NAP1L4	nucleosome assembly protein 1 like 4	other	chr11	-	47947	2	0.161	0hr->6hr	alt 3'ss (A3SS)	0	10	""
NCOA2	nuclear receptor coactivator 2	other	chr8	-	294500	1	0.161	1hr->6hr	alt 5'ss (A5SS)	0	32	""
PPFIA2	PTPRF interacting protein alpha 2	neuronal	chr12	-	501579	1	0.161	0hr->1hr	alt 5'ss (A5SS)	6	14	axon; dendritic spine; presynaptic active zone; regulation of dendritic spine development
TMEM11	transmembrane protein 11	other	chr17	-	16223	3	0.161	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	7	""
DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	other	chr13	-	29928	1	0.16	1hr->6hr	alt 5'ss (A5SS)	0	20	""
GGCX	gamma-glutamyl carboxylase	other	chr2	-	16813	1	0.16	0hr->6hr	alt 5'ss (A5SS)	0	8	""
ILF3	interleukin enhancer binding factor 3	other	chr19	+	38123	2	0.16	0hr->6hr	alt 3'ss (A3SS)	0	20	""
LEMD1-AS1	LEMD1 antisense RNA 1	other	chr1	+	14208	1	0.16	0hr->6hr	alt 3'ss (A3SS)	0	0	""
MYH10	myosin heavy chain 10	other	chr17	-	157170	2	0.16	1hr->6hr	alt 5'ss (A5SS)	0	30	""
UCHL5	ubiquitin C-terminal hydrolase L5	other	chr1	-	47844	1	0.16	0hr->6hr	alt 5'ss (A5SS)	0	33	""
CEP70	centrosomal protein 70	other	chr3	-	100195	1	0.159	1hr->6hr	alt 3'ss (A3SS)	0	7	""
ENSG00000277701		other	chr2	+	10494	1	0.159	0hr->6hr	alt 5'ss (A5SS)	0	0	""
G3BP2	G3BP stress granule assembly factor 2	other	chr4	-	82741	1	0.159	0hr->1hr	alt 3'ss (A3SS)	0	15	""
GLCE	glucuronic acid epimerase	other	chr15	+	111715	1	0.159	0hr->6hr	alt 3'ss (A3SS)	0	9	""
NASP	nuclear autoantigenic sperm protein	other	chr1	+	35059	1	0.159	1hr->6hr	alt 5'ss (A5SS)	0	16	""
NFXL1	nuclear transcription factor, X-box binding like 1	other	chr4	-	67435	1	0.159	0hr->6hr	alt 5'ss (A5SS)	0	9	""
RUNDC3A-AS1	RUNDC3A antisense RNA 1	other	chr17	-	15742	1	0.159	0hr->6hr	alt 5'ss (A5SS)	0	2	""
KIAA1586	KIAA1586	other	chr6	+	9377	2	0.158	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	2	""
LEMD1	LEM domain containing 1	other	chr1	-	75737	1	0.158	0hr->6hr	alt 3'ss (A3SS)	0	2	""
CARS1	cysteinyl-tRNA synthetase 1	other	chr11	-	56692	1	0.157	0hr->6hr	alt 5'ss (A5SS)	0	9	""
CCSER2	coiled-coil serine rich protein 2	other	chr10	+	189953	1	0.157	0hr->6hr	alt 5'ss (A5SS)	0	4	""
HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	other	chr10	+	12020	1	0.157	1hr->6hr	alt 5'ss (A5SS)	0	11	""
MED27	mediator complex subunit 27	other	chr9	-	226966	1	0.157	0hr->6hr	alt 3'ss (A3SS)	0	18	""
NUTM2A-AS1	NUTM2A antisense RNA 1	other	chr10	-	152877	1	0.157	0hr->6hr	alt 3'ss (A3SS)	0	0	""
RFX3	regulatory factor X3	other	chr9	-	307730	1	0.157	1hr->6hr	alt 3'ss (A3SS)	0	25	""
SMYD3	SET and MYND domain containing 3	other	chr1	-	758001	1	0.157	0hr->6hr	alt 3'ss (A3SS)	0	17	""
SUPV3L1	Suv3 like RNA helicase	other	chr10	+	28866	1	0.157	1hr->6hr	alt 3'ss (A3SS)	0	28	""
SYT1	synaptotagmin 1	neuronal	chr12	+	588016	1	0.157	0hr->1hr	alt 5'ss (A5SS)	22	64	axon; calcium ion-regulated exocytosis of neurotransmitter; calcium-dependent activation of synaptic vesicle fusion; chemical synaptic transmission
DEF8	differentially expressed in FDCP 8 homolog	other	chr16	+	19364	1	0.156	0hr->6hr	alt 3'ss (A3SS)	0	4	""
